Team 1,Team 2,Winner,Win Margin,Ground,Match Date
Bangladesh,Ireland,Bangladesh,27 runs,"Shere Bangla National Stadium, Mirpur",2011-02-25
Pakistan,Sri Lanka,Pakistan,11 runs,"R Premadasa Stadium, Colombo",2011-02-26
India,England,Tie,,"M Chinnaswamy Stadium, Bangalore",2011-02-27
Zimbabwe,Canada,Zimbabwe,175 runs,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2011-02-28
West Indies,Netherlands,West Indies,215 runs,"Feroz Shah Kotla, Delhi",2011-02-28
Kenya,Sri Lanka,Sri Lanka,9 wickets,"R Premadasa Stadium, Colombo",2011-03-01
England,Ireland,Ireland,3 wickets,"M Chinnaswamy Stadium, Bangalore",2011-03-02
South Africa,Netherlands,South Africa,231 runs,"Punjab Cricket Association Stadium, Mohali, Chandigarh",2011-03-03
Pakistan,Canada,Pakistan,46 runs,"R Premadasa Stadium, Colombo",2011-03-03
Zimbabwe,New Zealand,New Zealand,10 wickets,"Sardar Patel Stadium, Motera, Ahmedabad",2011-03-04
Bangladesh,West Indies,West Indies,9 wickets,"Shere Bangla National Stadium, Mirpur",2011-03-04
Sri Lanka,Australia,No Result,,"R Premadasa Stadium, Colombo",2011-03-05
England,South Africa,England,6 runs,"MA Chidambaram Stadium, Chepauk, Chennai",2011-03-06
Ireland,India,India,5 wickets,"M Chinnaswamy Stadium, Bangalore",2011-03-06
Kenya,Canada,Canada,5 wickets,"Feroz Shah Kotla, Delhi",2011-03-07
New Zealand,Pakistan,New Zealand,110 runs,Pallekele International Cricket Stadium,2011-03-08
Netherlands,India,India,5 wickets,"Feroz Shah Kotla, Delhi",2011-03-09
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele International Cricket Stadium,2011-03-10
India,West Indies,West Indies,9 wickets,"Edgbaston, Birmingham",1979-06-09
Sri Lanka,New Zealand,New Zealand,9 wickets,"Trent Bridge, Nottingham",1979-06-09
Australia,England,England,6 wickets,"Lord's, London",1979-06-09
Canada,Pakistan,Pakistan,8 wickets,"Headingley, Leeds",1979-06-09
Sri Lanka,West Indies,No Result,,"Kennington Oval, London",1979-06-13
India,New Zealand,New Zealand,8 wickets,"Headingley, Leeds",1979-06-13
Pakistan,Australia,Pakistan,89 runs,"Trent Bridge, Nottingham",1979-06-13
Canada,England,England,8 wickets,"Old Trafford, Manchester",1979-06-13
Sri Lanka,India,Sri Lanka,47 runs,"Old Trafford, Manchester",1979-06-16
West Indies,New Zealand,West Indies,32 runs,"Trent Bridge, Nottingham",1979-06-16
Canada,Australia,Australia,7 wickets,"Edgbaston, Birmingham",1979-06-16
England,Pakistan,England,14 runs,"Headingley, Leeds",1979-06-16
England,New Zealand,England,9 runs,"Old Trafford, Manchester",1979-06-20
West Indies,Pakistan,West Indies,43 runs,"Kennington Oval, London",1979-06-20
West Indies,England,West Indies,92 runs,"Lord's, London",1979-06-23
